id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	encrypted	other	default	same_default	same_script	allowed_filetypes	alphasort	answer_order	answer_width	answer_width_bycolumn	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_input_columns	choice_title	commented_checkbox	commented_checkbox_auto	cssclass	date_format	date_max	date_min	display_columns	display_rows	display_type	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	equation	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	input_size	label_input_columns	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	max_subquestions	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	placeholder	prefix	printable_help	public_statistics	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_custom_handle	slider_default	slider_default_set	slider_handle	slider_layout	slider_max	slider_middlestart	slider_min	slider_orientation	slider_rating	slider_reset	slider_reversed	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_columns	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown	value_range_allows_missing
		SL		surveyls_email_invite		"Dear {FIRSTNAME},<br /><br />You have been invited to participate in a survey.<br /><br />The survey is titled:<br />""{SURVEYNAME}""<br /><br />""{SURVEYDESCRIPTION}""<br /><br />To participate, please click on the link below.<br /><br />Sincerely,<br /><br />{ADMINNAME} ({ADMINEMAIL})<br /><br />----------------------------------------------<br />Click here to do the survey:<br />{SURVEYURL}<br /><br />If you do not want to participate in this survey and don't want to receive any more invitations please click the following link:<br />{OPTOUTURL}<br /><br />If you are blocklisted but want to participate in this survey and want to receive invitations please click the following link:<br />{OPTINURL}"		en																																																																																																																																											
		SL		surveyls_email_remind_subj		"Reminder to participate in a survey"		en																																																																																																																																											
		SL		surveyls_email_remind		"Dear {FIRSTNAME},<br /><br />Recently we invited you to participate in a survey.<br /><br />We note that you have not yet completed the survey, and wish to remind you that the survey is still available should you wish to take part.<br /><br />The survey is titled:<br />""{SURVEYNAME}""<br /><br />""{SURVEYDESCRIPTION}""<br /><br />To participate, please click on the link below.<br /><br />Sincerely,<br /><br />{ADMINNAME} ({ADMINEMAIL})<br /><br />----------------------------------------------<br />Click here to do the survey:<br />{SURVEYURL}<br /><br />If you do not want to participate in this survey and don't want to receive any more invitations please click the following link:<br />{OPTOUTURL}"		en																																																																																																																																											
		SL		surveyls_email_register_subj		"Survey registration confirmation"		en																																																																																																																																											
		SL		surveyls_email_register		"Dear {FIRSTNAME},<br /><br />You, or someone using your email address, have registered to participate in an online survey titled {SURVEYNAME}.<br /><br />To complete this survey, click on the following URL:<br /><br />{SURVEYURL}<br /><br />If you have any questions about this survey, or if you did not register to participate and believe this email is in error, please contact {ADMINNAME} at {ADMINEMAIL}."		en																																																																																																																																											
		SL		surveyls_email_confirm_subj		"Confirmation of your participation in our survey"		en																																																																																																																																											
		SL		surveyls_email_confirm		"Dear {FIRSTNAME},<br /><br />This email is to confirm that you have completed the survey titled {SURVEYNAME} and your response has been saved. Thank you for participating.<br /><br />If you have any further questions about this email, please contact {ADMINNAME} on {ADMINEMAIL}.<br /><br />Sincerely,<br /><br />{ADMINNAME}"		en																																																																																																																																											
		SL		surveyls_dateformat		9		en																																																																																																																																											
		SL		surveyls_alias				en																																																																																																																																											
		SL		email_admin_notification_subj		"Response submission for survey {SURVEYNAME}"		en																																																																																																																																											
		SL		email_admin_notification		"Hello,<br /><br />A new response was submitted for your survey '{SURVEYNAME}'.<br /><br />Click the following link to see the individual response:<br />{VIEWRESPONSEURL}<br /><br />Click the following link to edit the individual response:<br />{EDITRESPONSEURL}<br /><br />View statistics by clicking here:<br />{STATISTICSURL}"		en																																																																																																																																											
		SL		email_admin_responses_subj		"Response submission for survey {SURVEYNAME} with results"		en																																																																																																																																											
		SL		email_admin_responses		"Hello,<br /><br />A new response was submitted for your survey '{SURVEYNAME}'.<br /><br />Click the following link to see the individual response:<br />{VIEWRESPONSEURL}<br /><br />Click the following link to edit the individual response:<br />{EDITRESPONSEURL}<br /><br />View statistics by clicking here:<br />{STATISTICSURL}<br /><br /><br />The following answers were given by the participant:<br />{ANSWERTABLE}"		en																																																																																																																																											
		SL		surveyls_numberformat		0		en																																																																																																																																											
14		G	1	"Basic Questions"		"The ""Basic Questions"" survey group includes basic LimeSurvey questions designed to gather general information."		en																																																																																																																																											
897		Q	L	BQ001		"During this hospital stay, were you given any medicine that you had not taken before?"		en		Y	N	N		0	0			normal					0																															0	0																															0	0		0					0								0																					0	1						1		0	0														
897		A	0	AO01		Yes		en																0																																																																																																																											
897		A	0	AO02		No		en																0																																																																																																																											
900		Q	L	BQ002	1	"During this hospital stay, how often did nurses treat you with courtesy and respect?"		en		Y	N	N		0	0			normal					0																															0	0																															0	0		0					0								0																					0	1						1		0	0														
900		A	0	AO01		Never		en																0																																																																																																																											
900		A	0	AO02		Sometimes		en																0																																																																																																																											
900		A	0	AO03		Usually		en																0																																																																																																																											
900		A	0	AO04		Always		en																0																																																																																																																											
895		Q	!	BQ003	"((q0r500.NAOK == ""AO01""))"	"How you feel about things at this nursing home and how you feel about the care you get.<br />Use any number from 0 to 10, where<ul>	<li>0 is the worst possible</li>	<li>10 is the best possible. </li></ul><br />What number would you use to rate the food here at this nursing home?"		en		Y	N	N		0	0			normal																						0														0	0																															0			0					0								0																					0	1						1		0	0														
895		A	0	AO01		0		en																0																																																																																																																											
895		A	0	AO02		1		en																0																																																																																																																											
895		A	0	AO03		2		en																0																																																																																																																											
895		A	0	AO04		3		en																0																																																																																																																											
895		A	0	AO05		4		en																0																																																																																																																											
895		A	0	AO06		5		en																0																																																																																																																											
895		A	0	AO07		6		en																0																																																																																																																											
895		A	0	AO08		7		en																0																																																																																																																											
895		A	0	AO09		8		en																0																																																																																																																											
895		A	0	AO10		9		en																0																																																																																																																											
895		A	0	AO15		10		en																0																																																																																																																											
699		Q	;	BQ004	1	"<p>Please use the blank field to specify the profession during the time periods indicated:</p>"		en		N	N	N		0	0								0																															0	0																				512										0				0							0								0		X																	0	1																							
700		SQ		SQ001	1	occupation		en		N		N		0	0																																																																																																																																				
701		SQ	1	AO001		"preconception "		en		N		N		0	0																																																																																																																																				
702		SQ	1	AO002		prenatal		en		N		N		0	0																																																																																																																																				
703		SQ	1	AO003		"child's first year of life"		en		N		N		0	0																																																																																																																																				
901		Q	F	BQ005	1	"<p>Answer choices – often, sometimes, rarely, or never.</p>"		en		Y	N	N		0	0								0																															0	0																																		0					0		0						0																					0	1																						0	
903		SQ		SQ001	1	"How often do you feel worried – often, sometimes, rarely, or never?"		en		N		N		0	0																																																																																																																																				
904		SQ		SQ002	1	"How often do you feel happy – often, sometimes, rarely, or never?"		en		N		N		0	0																																																																																																																																				
901		A	0	AO01		Often		en																0																																																																																																																											
901		A	0	AO02		Sometimes		en																0																																																																																																																											
901		A	0	AO03		rarely		en																0																																																																																																																											
901		A	0	AO04		Never		en																0																																																																																																																											
15		G	2	"Conditional Questions"		"The ""Conditional Questions"" survey group uses LimeSurvey conditions, where questions are shown based on previous answers or specific input ranges."		en																																																																																																																																											
902		Q	N	CQ001		"In what year were you born?<style type=""text/css"">.row {        display: flex;    }    .control-label {        order: 2;        text-align: left !important;    }    .form-control {          float: right !important; /* Move the form control to the left */      }    @media (min-width: 768px) {        .col-md-8 {          /* Set width for medium screens and larger */          width: 50.66666667%; /* 8 columns out of 12 */        }In what year were you born?In what year were you born?In what year were you born?In what year were you born?In what year were you born?In what year were you born?</style>"		en		Y	N	N		0	0								0							"<div class=""side-by-side"">     <div class=""col-12 col-md-6"">         <label class=""control-label"" for=""answer772475X106X23927SQ001"">Weight in pounds</label>         <input class=""form-control"" type=""text"" name=""772475X106X23927SQ001"" id=""answer772475X106X23927SQ001"" value="""" placeholder="""" size=""25"" min=""5"" max=""1000"">     </div>     <div class=""col-12 col-md-6"">         <label class=""control-label"" for=""answer772475X106X23927SQ003"">Oz</label>         <input class=""form-control"" type=""text"" name=""772475X106X23927SQ003"" id=""answer772475X106X23927SQ003"" value="""" placeholder="""" size=""25"" min=""0"" max=""15"">     </div> </div>"																								0	1		25																2000		4			1	1900					1	0				0					0		0													f1ae	20	1	2	1	400	0	0	0		0	0	|	1	0	1				6																			1
704		Q	L	CQ002	1	"<h4>Prenatal Monitoring</h4><p><span style=""font-size:16px;"">Did the MOTHER of this child have any ultrasounds during her pregnancy?</span></p>"		en		Y	N	N		0	0			normal					0																															0	0																															0	0		0					0								0																					0	1						1		0	0														
704		A	0	AO01		yes		en																0																																																																																																																											
704		A	0	AO02		no		en																0																																																																																																																											
704		A	0	AO03		"don't know"		en																0																																																																																																																											
898		Q	L	CQ003C1	"((CQ002.NAOK == ""AO01""))"	"Do the staff make sure you have enough personal privacy when you dress, take a shower, or bathe?"		en		Y	N	N		0	0			normal					0																															0	0																															0	0		0					0								0																					0	1						1		0	0														
898		A	0	AO01		Yes		en																0																																																																																																																											
898		A	0	AO02		No		en																0																																																																																																																											
898		A	0	AO03		Sometimes		en																0																																																																																																																											
705		Q	!	CQ003C2	"((CQ002.NAOK == ""AO01""))"	"<p>At about what week gestation did the MOTHER have her first ultrasound?</p>"		en		Y	N	N		0	0			normal																						0														0	0																															0			0					0								0																					0	1						1		0	0														
705		A	0	AO001		1		en																0																																																																																																																											
705		A	0	AO002		2		en																0																																																																																																																											
705		A	0	AO003		3		en																0																																																																																																																											
705		A	0	AO004		4		en																0																																																																																																																											
705		A	0	AO005		5		en																0																																																																																																																											
705		A	0	AO006		6		en																0																																																																																																																											
705		A	0	AO007		7		en																0																																																																																																																											
705		A	0	AO008		8		en																0																																																																																																																											
705		A	0	AO009		9		en																0																																																																																																																											
705		A	0	AO010		10		en																0																																																																																																																											
705		A	0	AO011		11		en																0																																																																																																																											
705		A	0	AO012		12		en																0																																																																																																																											
705		A	0	AO013		13		en																0																																																																																																																											
705		A	0	AO014		14		en																0																																																																																																																											
705		A	0	AO015		15		en																0																																																																																																																											
705		A	0	AO016		16		en																0																																																																																																																											
705		A	0	SQ017		17		en																0																																																																																																																											
705		A	0	AO018		18		en																0																																																																																																																											
705		A	0	AO019		19		en																0																																																																																																																											
705		A	0	AO020		20		en																0																																																																																																																											
705		A	0	AO021		21		en																0																																																																																																																											
705		A	0	AO022		22		en																0																																																																																																																											
705		A	0	AO023		23		en																0																																																																																																																											
705		A	0	AO025		24		en																0																																																																																																																											
705		A	0	AO024		25		en																0																																																																																																																											
705		A	0	AO026		26		en																0																																																																																																																											
705		A	0	AO027		27		en																0																																																																																																																											
705		A	0	AO028		28		en																0																																																																																																																											
705		A	0	AO029		29		en																0																																																																																																																											
705		A	0	SQ030		30		en																0																																																																																																																											
705		A	0	AO031		31		en																0																																																																																																																											
705		A	0	AO032		32		en																0																																																																																																																											
705		A	0	AO033		33		en																0																																																																																																																											
705		A	0	AO034		34		en																0																																																																																																																											
705		A	0	AO035		35		en																0																																																																																																																											
705		A	0	AO036		36		en																0																																																																																																																											
705		A	0	AO037		37		en																0																																																																																																																											
705		A	0	AO038		38		en																0																																																																																																																											
705		A	0	AO039		39		en																0																																																																																																																											
705		A	0	AO040		40		en																0																																																																																																																											
705		A	0	AO041		41		en																0																																																																																																																											
705		A	0	AO042		42		en																0																																																																																																																											
705		A	0	AO043		43		en																0																																																																																																																											
705		A	0	AO044		"don't know"		en																0																																																																																																																											
896		Q	L	CQ004	1	"<p>Is the area around your room quiet at night?</p>"		en		Y	N	N		0	0			normal					0																															0	0																															0	0		0					0								0																					0	1						1		0	0														
896		A	0	AO01		Yes		en																0																																																																																																																											
896		A	0	AO02		No		en																0																																																																																																																											
896		A	0	AO03		Sometimes		en																0																																																																																																																											
16		G	3	"Function Questions"		"The ""Function Questions"" survey group contains LimeSurvey questions that use scripts implemented by the ED"		en																																																																																																																																											
905		Q	M	FQ001	1	"<p>What language do you mainly speak at home?</p>"		en		Y	N	N		0	1			normal					0	1																													0	0	0																															0	0		0					0		0						0																					0	1						1		0	0														
911		SQ		SQ001	1	English		en		N		N		0	0																																																																																																																																				
913		SQ		SQ002	1	Spanish		en		N		N		0	0																																																																																																																																				
920		SQ		SQ003	1	Chinese		en		N		N		0	0																																																																																																																																				
921		SQ		SQ004	1	French		en		N		N		0	0																																																																																																																																				
924		SQ		SQ005	1	Hindi		en		N		N		0	0																																																																																																																																				
927		SQ		SQ006	1	Japanese		en		N		N		0	0																																																																																																																																				
929		SQ		SQ007	1	German		en		N		N		0	0																																																																																																																																				
931		SQ		SQ008	1	Russian		en		N		N		0	0																																																																																																																																				
933		SQ		SQ009	1	italian		en		N		N		0	0																																																																																																																																				
935		SQ		SQ010	1	"don't know"		en		N		N		0	0																																																																																																																																				
937		SQ		SQ011	1	"none of the above"		en		N		N		0	0																																																																																																																																				
907		Q	;	FQ002		"<p>How satisfied were you with your overall experience at the hospital?</p>"		en		N	N	N		0	1			normal	15				0																															0	0																														0	0	0		0					0		0						0		0		X																	0	1						1		0	0													0	
912		SQ		SQ001	1	"Appointment Scheduling"		en		N		N		0	0																																																																																																																																				
915		SQ		SQ002	1	"Admission Process"		en		N		N		0	0																																																																																																																																				
919		SQ		SQ003	1	"Nursing Care"		en		N		N		0	0																																																																																																																																				
923		SQ		SQ004	1	"Pharmacy Services"		en		N		N		0	0																																																																																																																																				
925		SQ		SQ005	1	"Discharge Process"		en		N		N		0	0																																																																																																																																				
928		SQ		SQ006	1	"Follow up Care"		en		N		N		0	0																																																																																																																																				
930		SQ	1	AO001	1	"once  "		en		N		N		0	0																																																																																																																																				
932		SQ	1	AO002	1	"multiple times"		en		N		N		0	0																																																																																																																																				
934		SQ	1	AO003	1	"approx. date of first infection"		en		N		N		0	0																																																																																																																																				
936		SQ	1	AO004		comment		en		N		N		0	0																																																																																																																																				
908		Q	;	FQ003	1	"Please state the frequency with which this child:"		en		Y	N	N		0	1								0																															0	0																														0				0							0								0		X																	0	1																							
909		SQ		SQ001	1	"During this hospital stay, how often  did nurses treat you with courtesy  and respect? "		en		N		N		0	0																																																																																																																																				
916		SQ		SQ002	1	"During this hospital stay, how often  did nurses listen carefully to you?"		en		N		N		0	0																																																																																																																																				
918		SQ		SQ003	1	"During this hospital stay, how often  did nurses explain things in a way  you could understand?"		en		N		N		0	0																																																																																																																																				
922		SQ		SQ004	1	"During this hospital stay, how often  did doctors treat you with courtesy  and respect?"		en		N		N		0	0																																																																																																																																				
926		SQ	1	AO001		frequency		en		N		N		0	0																																																																																																																																				
868		Q	N	FQ004	1	"<p>Please list all prescription medications the resident routinely takes. If known, include the dosage, start date, and frequency of each medication.</p>"		en		Y	N	N		0	0																																							0	0																													0					0					0																													0	1																							
869		Q	;	FQ004C1	(!is_empty(FQ004))	<p>Medications:</p>		en		N	N	N		0	0								0																															0	0																														0				0							0								0		X																	0	1																							
870		SQ		SQ001	1	1		en		N		N		0	0																																																																																																																																				
871		SQ		SQ002	1	2		en		N		N		0	0																																																																																																																																				
872		SQ		SQ003	1	3		en		N		N		0	0																																																																																																																																				
873		SQ		SQ004	1	4		en		N		N		0	0																																																																																																																																				
874		SQ		SQ005	1	5		en		N		N		0	0																																																																																																																																				
875		SQ		SQ006	1	6		en		N		N		0	0																																																																																																																																				
876		SQ		SQ007	1	7		en		N		N		0	0																																																																																																																																				
877		SQ		SQ008	1	8		en		N		N		0	0																																																																																																																																				
878		SQ		SQ009	1	9		en		N		N		0	0																																																																																																																																				
879		SQ		SQ010	1	10		en		N		N		0	0																																																																																																																																				
880		SQ		SQ011	1	11		en		N		N		0	0																																																																																																																																				
881		SQ		SQ012	1	12		en		N		N		0	0																																																																																																																																				
882		SQ		SQ013	1	13		en		N		N		0	0																																																																																																																																				
883		SQ		SQ014	1	14		en		N		N		0	0																																																																																																																																				
884		SQ		SQ015	1	15		en		N		N		0	0																																																																																																																																				
885		SQ		SQ016	1	16		en		N		N		0	0																																																																																																																																				
886		SQ		SQ017	1	17		en		N		N		0	0																																																																																																																																				
887		SQ		SQ018	1	18		en		N		N		0	0																																																																																																																																				
888		SQ		SQ019	1	19		en		N		N		0	0																																																																																																																																				
889		SQ		SQ020	1	20		en		N		N		0	0																																																																																																																																				
890		SQ	1	AO001		"name of medication"		en		N		N		0	0																																																																																																																																				
891		SQ	1	AO002		dose		en		N		N		0	0																																																																																																																																				
892		SQ	1	AO003	1	"start date"		en		N		N		0	0																																																																																																																																				
893		SQ	1	AO004	1	frequency		en		N		N		0	0																																																																																																																																				
894		SQ	1	AO005		route		en		N		N		0	0																																																																																																																																				
719		Q	;	FQ005	1	"<p>Which of the following medications did the mother of this child take due to complications related to her stay in a nursing home? Check all that apply.</p>"		en		Y	N	N		0	0								0	1																													0	0	0																														0		0		0					0		0						0		0		X																	0	1																							
720		SQ		SQ999	1	"<i>Check here to apply to all the following items (optional)</i>"		en		N		N		0	0																																																																																																																																				
721		SQ		SQ001	1	"medications for pre-term labor (any)"		en		N		N		0	0																																																																																																																																				
722		SQ		SQ002	1	"medications for pre-term labor: magnesium sulfate"		en		N		N		0	0																																																																																																																																				
723		SQ		SQ003	1	"medications for pre-term labor: Terbutaline"		en		N		N		0	0																																																																																																																																				
724		SQ		SQ004	1	"medications for pre-term labor: progesterone"		en		N		N		0	0																																																																																																																																				
725		SQ		SQ005	1	"medications for pre-term labor: indomethacin"		en		N		N		0	0																																																																																																																																				
726		SQ		SQ006	1	"medications for pre-term labor: Nifedipine"		en		N		N		0	0																																																																																																																																				
727		SQ	1	AO001		mother		en		N		N		0	0																																																																																																																																				
728		Q	;	FQ005C1		"<span style=""font-size:16px;"">BIRTH MOTHER</span><!--  <style type=""text/css"">/*.know-label,    .dont-know-label {        text-indent: 110px;    }    .ls-heading.ls-header .answertext.control-label[role=""columnheader""] {        background-color: #add8e6; /* Light blue color */    }  .list-question-select .dropdown-container {        max-width: 30px; /* Adjust this width as needed */    }    .list-question-select .inserted-dropdown {        width: 30%;    }*/</style>-->"		en		Y	N	N		0	0								0																															0	0																														0				0							0								0		X																	0	1																							
729		SQ		SQ001	1	"medications for pre-term labor (any) "		en		N		N		0	0																																																																																																																																				
730		SQ		SQ002	1	"medications for pre-term labor: magnesium sulfate"		en		N		N		0	0																																																																																																																																				
731		SQ		SQ003	1	"medications for pre-term labor: Terbutaline"		en		N		N		0	0																																																																																																																																				
732		SQ		SQ004	1	"medications for pre-term labor: progesterone"		en		N		N		0	0																																																																																																																																				
733		SQ		SQ005	1	"medications for pre-term labor: indomethacin"		en		N		N		0	0																																																																																																																																				
734		SQ		SQ006	1	"medications for pre-term labor: Nifedipine"		en		N		N		0	0																																																																																																																																				
735		SQ	1	AO001		"first trimester"		en		N		N		0	0																																																																																																																																				
736		SQ	1	AO002		"second trimester"		en		N		N		0	0																																																																																																																																				
737		SQ	1	AO003		"third trimester"		en		N		N		0	0																																																																																																																																				
738		SQ	1	AO004		"trimester unknown"		en		N		N		0	0																																																																																																																																				
739		Q	;	FQ006	1	"<p>Other environmental factors or exposures that may have affected the patient:</p><p> </p>"		en		Y	N	N		0	0								0																															0	0																														0				0							0								0		X																	0	1						1		0	0														
740		SQ		SQ999	1	"<em>Check here to apply to all the following items (optional)</em>"		en		N		N		0	0																																																																																																																																				
741		SQ		SQ001	1	"heavy smog/air pollution"		en		N		N		0	0																																																																																																																																				
742		SQ		SQ002	1	"poor air quality (e.g. ""red alert"" days)"		en		N		N		0	0																																																																																																																																				
743		SQ		SQ003	1	"volcanic ash or volcanic activity"		en		N		N		0	0																																																																																																																																				
744		SQ		SQ004	1	"smoke from forest fires"		en		N		N		0	0																																																																																																																																				
745		SQ		SQ005	1	"smoke from a building or household fire"		en		N		N		0	0																																																																																																																																				
746		SQ		SQ006	1	"secondhand smoke"		en		N		N		0	0																																																																																																																																				
791		SQ	1	AO001		Patient		en		N		N		0	0																																																																																																																																				
792		Q	;	FQ006C1		"<!--  <style type=""text/css"">/*.know-label,    .dont-know-label {        text-indent: 110px;    }    .ls-heading.ls-header .answertext.control-label[role=""columnheader""] {        background-color: #add8e6; /* Light blue color */    }  .list-question-select .dropdown-container {        max-width: 30px; /* Adjust this width as needed */    }    .list-question-select .inserted-dropdown {        width: 30%;    }*/</style>--><div id=""gtx-trans"" style=""position: absolute; left: -56px; top: -4.5px;""><div class=""gtx-trans-icon""> </div></div>"		en		Y	N	N		0	0								0																															0	0																														0				0							0								0		X																	0	1																							
793		SQ		SQ001	1	"heavy smog/air pollution"		en		N		N		0	0																																																																																																																																				
794		SQ		SQ002	1	"poor air quality (e.g. ""red alert"" days)"		en		N		N		0	0																																																																																																																																				
795		SQ		SQ003	1	"volcanic ash or volcanic activity"		en		N		N		0	0																																																																																																																																				
796		SQ		SQ004	1	"smoke from forest fires"		en		N		N		0	0																																																																																																																																				
797		SQ		SQ005	1	"smoke from a building or household fire"		en		N		N		0	0																																																																																																																																				
798		SQ		SQ006	1	"secondhand smoke"		en		N		N		0	0																																																																																																																																				
843		SQ	1	AO001		"Frequency: Prenatal"		en		N		N		0	0																																																																																																																																				
844		SQ	1	AO002		"Frequency: Breastfeeding"		en		N		N		0	0																																																																																																																																				
906		Q	Q	FQ007	1	"What is your approximate weight?  Please provide in Pounds and Ounces (or Kilograms).<style type=""text/css"">.row {        display: flex;    }    .control-label {        order: 2;        text-align: left !important;    }    .form-control {          float: right !important; /* Move the form control to the left */      }    @media (min-width: 768px) {        .col-md-8 {          /* Set width for medium screens and larger */          width: 50.66666667%; /* 8 columns out of 12 */        }</style>"		en		Y	N	N		0	0								0							"<div class=""side-by-side"">     <div class=""col-12 col-md-6"">         <label class=""control-label"" for=""answer772475X106X23927SQ001"">Weight in pounds</label>         <input class=""form-control"" type=""text"" name=""772475X106X23927SQ001"" id=""answer772475X106X23927SQ001"" value="""" placeholder="""" size=""25"" min=""5"" max=""1000"">     </div>     <div class=""col-12 col-md-6"">         <label class=""control-label"" for=""answer772475X106X23927SQ003"">Oz</label>         <input class=""form-control"" type=""text"" name=""772475X106X23927SQ003"" id=""answer772475X106X23927SQ003"" value="""" placeholder="""" size=""25"" min=""0"" max=""15"">     </div> </div>"																								0	1		25																400					1	1					1	0				0					0		0													f1ae	20	1	2	1	400	0	0	0		0	0	|	1	0	1				6																			1
910		SQ		SQ001	1	"Pounds (valid values 5 - 1000) "		en		N		N		0	0																																																																																																																																				
